,Price,Open,High,Low,Nifty.Vol,Chg,VIXPrice,VIXOpen,VIXHigh,VIXLow,VIXChg,GSECPrice,GSECOpen,GSECHigh,GSECLow,GSECChg,FXPrice,FXOpen,FXHigh,FXLow,FXChg,OilPrice,OilOpen,OilHigh,OilLow,OilChg,FII_BUY,FII_SELL,FII_NET,DII_BUY,DII_SELL,DII_NET,Nifty_PE
55,11908.5,11783.35,11929.65,11756.4,667290,0.008,23.2,24.24,24.24,20.6725,-0.0429,5.886,5.896,5.896,5.876,-0.002,74.365,74.598,75.015,74.337,-0.0033,39.15,38.15,39.25,37.26,0.0396,6302.82,6156.6,146.22,4428.91,4437.04,-8.13,32.27
56,11813.5,11734.45,11836.2,11723.3,674300,0.0124,24.24,25.21,25.3325,22.9175,-0.0385,5.898,5.888,5.914,5.888,0.0014,74.61,74.422,74.635,74.247,0.0015,37.66,37.03,38.32,36.57,0.0231,8481.57,6207.17,2274.4,4316.48,5417.4,-1100.92,31.82
57,11669.15,11697.35,11725.65,11557.4,568430,0.0023,25.21,24.7525,25.9175,24.22,0.0185,5.89,5.89,5.896,5.877,0.0015,74.5,74.567,74.567,74.265,-7.00E-04,36.81,35.24,37.15,33.64,0.0285,6824.79,6084.18,740.61,3816.19,4350.16,-533.97,31.43
58,11642.4,11678.45,11748.95,11535.45,553670,-0.0024,24.7525,24.0225,26.3,21.725,0.0304,5.8855,5.882,5.891,5.8645,0.00265,74.554,74.32,74.712,74.24,0.0025,35.79,36.07,36.6,35.21,-0.0105,6329.42,7200.3,-870.88,2694.06,2062.95,631.11,31.9
59,11670.8,11633.3,11744.15,11606.45,554960,-0.005,24.0225,23.28,24.36,22.2825,0.0319,5.881,5.874,5.886,5.852,0.0038,74.37,74.23,74.533,73.938,0.0026,36.17,37.39,37.76,34.92,-0.0326,5606.53,6027.48,-420.95,3325.98,3579.39,-253.41,31.56
60,11729.6,11922.6,11929.4,11684.85,704020,-0.0134,23.28,22.195,23.465,20.08,0.0489,5.859,5.849,5.862,5.83,0.0022,74.18,73.729,74.271,73.647,0.0076,37.39,38.97,39.01,36.97,-0.0551,7833.41,8964.39,-1130.98,3843.24,3841.76,1.48,33.94
61,11889.4,11807.1,11899.05,11723,616320,0.0103,22.195,22.8325,23.1675,22.1225,-0.0279,5.846,5.849,5.86,5.83,0.0021,73.622,73.938,74.021,73.599,-0.0046,39.57,38.59,39.83,38.51,0.0262,11020.94,7506.05,3514.89,4310.08,5880.88,-1570.8,34.49
62,11767.75,11937.4,11942.85,11711.7,519820,-0.0136,22.8325,21.8275,23.405,21.32,0.046,5.834,5.822,5.846,5.791,-0.0017,73.96,73.842,74.115,73.692,0.0018,38.56,39.69,39.74,38.28,-0.0324,5323.21,5442.63,-119.42,3112.15,4091.31,-979.16,33.95
63,11930.35,11957.9,11974.55,11908.75,502340,0.0028,21.8275,22.635,22.78,19.8325,-0.0357,5.844,5.898,5.898,5.844,-0.012,73.829,73.645,73.887,73.471,0.0023,39.85,40.61,40.92,39.57,-0.0194,6024.92,5117.99,906.93,3705.8,4597.66,-891.86,34.37
64,11896.45,11892.1,11938.1,11824.45,544800,-0.0035,22.635,22.915,23.515,17.44,-0.0122,5.915,5.913,5.918,5.903,5.00E-04,73.66,73.68,73.808,73.519,0.001,40.64,40.04,41.02,39.71,0.0152,8325.73,7207.27,1118.46,3207.37,5227.24,-2019.87,34.27
65,11937.65,11958.55,12018.65,11775.75,623660,0.0034,22.915,22.69,23.545,18.3775,0.0099,5.912,5.947,5.947,5.912,-0.0032,73.59,73.44,73.763,73.357,0.002,40.03,41.22,41.59,39.78,-0.0345,8448.11,6339.63,2108.48,3951.48,5585.01,-1633.53,34.4
66,11896.8,11861,11949.25,11837.25,453560,0.002,22.69,21.8175,22.7925,18.79,0.04,5.931,5.95,5.95,5.929,-0.0015,73.44,73.342,73.558,73.295,0.0012,41.46,40.65,41.7,40.25,0.0154,6335.73,4750.66,1585.07,2928.16,4561.39,-1633.23,34.28
67,11873.05,11879.2,11898.25,11820.4,541420,0.0094,21.8175,21.645,22.3175,15.465,0.008,5.94,5.932,5.944,5.921,8.00E-04,73.35,73.444,73.444,73.289,-0.0013,40.83,40.69,41.22,40.54,-0.0012,5994.22,4337.44,1656.78,3278.52,4900.25,-1621.73,34.43
68,11762.45,11727.4,11789.75,11667.85,555770,0.007,21.645,22.0575,22.4175,20.485,-0.0187,5.935,5.944,5.944,5.91,0.0063,73.442,73.407,73.451,73.255,3.00E-04,40.88,40.88,41.05,40.08,-0.002,4605.47,5085.06,-479.59,2545.89,2975.7,-429.81,34.13
69,11680.35,12023.45,12025.45,11661.3,608870,-0.0243,22.0575,20.21,22.275,19.0375,0.0914,5.898,5.911,5.911,5.888,-3.00E-04,73.42,73.295,73.52,73.204,0.0025,40.96,41.13,41.29,39.22,-0.0019,6544.15,7148.22,-604.07,3251.11,4059.4,-808.29,34.03
70,11971.05,11917.4,11997.2,11822.15,569250,0.0031,20.21,20.715,20.9625,18.425,-0.0244,5.9,5.918,5.918,5.895,-7.00E-04,73.24,73.395,73.466,73.193,-0.0022,41.04,40.19,41.16,39.82,0.0209,7151.46,6329.6,821.86,2962.67,4238.81,-1276.14,34.87
71,11934.5,11934.65,11988.2,11888.9,458310,3.00E-04,20.715,21.1275,21.65,20.525,-0.0195,5.904,5.925,5.925,5.888,8.00E-04,73.4,73.351,73.475,73.245,5.00E-04,40.2,39.53,40.53,39.35,0.0195,5797.32,4965.18,832.14,3029.17,4703.63,-1674.46,34.77
72,11930.95,11973.55,12022.05,11867.2,522630,0.0014,21.1275,20.38,22.1,19.39,0.0367,5.899,5.945,5.945,5.889,-0.0064,73.363,73.015,73.428,73.015,0.0048,39.43,40.4,40.45,39.04,-0.0288,6100.23,5485.06,615.17,1960.27,2989.04,-1028.77,34.76
73,11914.2,11852.05,11938.6,11805.2,611080,0.0067,20.38,20.38,21.0075,17.51,0,5.937,6.042,6.042,5.92,-0.013,73.01,73.15,73.265,72.969,-0.0038,40.6,41.31,41.47,40.38,-0.0143,6284.33,6323.72,-39.39,4154.21,4027.6,126.61,34.71
