NFOpen,NFChg,FXOpen,FXChg,OilOpen,OilChg,GsecOpen,GsecChange,GoldOpen,GoldChg,VIXOpen,VIXChg,FII_BUY,FII_SELL,DII_BUY,DII_SELL
8230.1,0.0308,63.53,0.0034,59.79,0.0112,7.88,-0.0057,1317.5,0.006,17.23,-0.0329,115328.54,120124.79,42361.08,33778.82
8483.7,-0.0365,62.29,0.0199,47.55,0.2527,7.72,0.0158,1273,0.0006,14.49,0.1885,112729.67,104865.31,42708.08,31196.62
8953.9,-0.0462,61.71,0.0103,49.45,-0.0434,7.74,0.0018,1272.2,-0.0284,16.97,-0.146,113231.7,106651.03,41189.93,40995.17
8802.5,0.0106,62.01,-0.0058,47.59,0.0315,7.7,0.0043,1367,-0.0543,20.17,-0.1588,98624.75,91878.55,38472.96,36761.08
8272.8,0.0635,63.18,-0.0162,53.76,-0.0944,7.85,-0.0209,1340,0.0368,15.12,0.3342,97928.91,89388.15,33785.16,40316.91
8605.1,-0.0356,62.06,0.0134,66,-0.1947,8.06,-0.0287,1335.4,0.1363,12.9,0.1723,76004.51,79941.33,37301.1,31345.31
8348.2,0.032,61.51,0.0131,80.59,-0.1787,8.26,-0.0231,1166.4,0.0035,13.3,-0.0299,92237.7,81292.11,28664.95,35936.29
7960.5,0.0449,61.83,-0.0086,91.36,-0.1165,8.51,-0.0274,1207.7,-0.0325,13.15,0.0114,68678.08,70360.95,30691.34,26588.47
7990.4,0.0013,60.52,0.0235,95.81,-0.05,8.56,-0.0056,1284.5,-0.0586,13.07,0.0059,91063.57,89560.48,35881.96,37018.95
7662.5,0.0302,60.75,-0.0007,97.7,-0.0225,8.75,-0.0182,1284.1,0.0035,13.82,-0.0546,70685.63,68004.16,29609.8,27274.32
7629.0,0.0144,60.09,0.0084,105.44,-0.0683,8.74,-0.003,1326.7,-0.0306,17.87,-0.2266,92008.38,85043.8,34725.88,37942.41
7264.1,0.0528,59.11,0.0146,102.92,0.0259,8.65,0.0115,1250,0.0612,16.34,0.0941,94458.3,87126.39,30264.82,34677.5
6710.0,0.0797,60.27,-0.0192,99.72,0.0298,8.82,-0.0207,1288.7,-0.0386,30.59,-0.466,109809.08,98006.27,35633.49,39769.53
6729.5,-0.0012,59.94,0.0056,101.53,-0.0181,8.86,0.0027,1285.1,0.0095,21.62,0.4148,69601.75,63318.58,22694.7,29553.74
6264.4,0.0681,61.96,-0.0289,103,-0.0098,8.87,-0.0065,1335.9,-0.0288,14.18,0.5251,88941.73,63565.28,28561.88,41692.65
6058.8,0.0308,62.71,-0.0142,97.4,0.0523,8.77,0.0105,1242.4,0.0656,16.82,-0.1571,51761.74,50341.84,20369.86,19702.17
6323.8,-0.034,61.83,0.0142,98.5,-0.0094,8.83,-0.0057,1204.3,0.0318,15.12,0.1124,65566.26,66832.14,25688.41,27143.88
